시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,372.0,2.59
서울특별시,중구,296.0,2.57
서울특별시,용산구,449.0,2.68
서울특별시,성동구,834.0,2.88
서울특별시,광진구,844.0,2.82
서울특별시,동대문구,1110.0,2.96
서울특별시,중랑구,1276.0,2.88
서울특별시,성북구,1314.0,2.98
서울특별시,강북구,1209.0,2.78
서울특별시,도봉구,1105.0,2.92
서울특별시,노원구,1031.0,2.97
서울특별시,은평구,1547.0,2.93
서울특별시,서대문구,843.0,2.85
서울특별시,마포구,612.0,2.6
서울특별시,양천구,1248.0,3.07
서울특별시,강서구,963.0,2.87
서울특별시,구로구,909.0,2.94
서울특별시,금천구,1161.0,2.92
서울특별시,영등포구,662.0,2.76
서울특별시,동작구,1056.0,3.04
서울특별시,관악구,1391.0,2.88
서울특별시,서초구,456.0,2.85
서울특별시,강남구,573.0,2.79
서울특별시,송파구,842.0,2.87
서울특별시,강동구,1384.0,3.03
부산광역시,중구,358.0,2.52
부산광역시,서구,895.0,2.89
부산광역시,동구,463.0,2.62
부산광역시,영도구,867.0,2.78
부산광역시,부산진구,844.0,2.72
부산광역시,동래구,950.0,2.87
부산광역시,남구,1266.0,2.94
부산광역시,북구,1243.0,2.92
부산광역시,해운대구,987.0,2.64
부산광역시,사하구,1523.0,2.98
부산광역시,금정구,1146.0,3.03
부산광역시,강서구,623.0,2.75
부산광역시,연제구,932.0,2.87
부산광역시,수영구,796.0,2.61
부산광역시,사상구,992.0,2.83
부산광역시,기장군,662.0,2.58
대구광역시,중구,394.0,2.58
대구광역시,동구,821.0,2.74
대구광역시,서구,954.0,2.82
대구광역시,남구,915.0,2.9
대구광역시,북구,1208.0,2.91
대구광역시,수성구,1111.0,2.87
대구광역시,달서구,1335.0,2.93
대구광역시,달성군,1140.0,2.9
대구광역시,군위군,610.0,2.46
인천광역시,중구,529.0,2.4
인천광역시,동구,728.0,2.87
인천광역시,미추홀구,1247.0,2.89
인천광역시,연수구,1352.0,2.96
인천광역시,남동구,1180.0,2.85
인천광역시,부평구,1223.0,2.85
인천광역시,계양구,1102.0,2.87
인천광역시,서구,1595.0,2.98
인천광역시,강화군,1149.0,2.35
인천광역시,옹진군,1614.0,2.38
광주광역시,동구,789.0,2.88
광주광역시,서구,934.0,2.76
광주광역시,남구,1488.0,3.02
광주광역시,북구,1426.0,2.96
광주광역시,광산구,1423.0,2.9
대전광역시,동구,977.0,2.78
대전광역시,중구,888.0,2.76
대전광역시,서구,1254.0,2.81
대전광역시,유성구,1279.0,2.82
대전광역시,대덕구,1054.0,2.73
울산광역시,중구,1072.0,2.98
울산광역시,남구,1078.0,2.83
울산광역시,동구,1750.0,2.96
울산광역시,북구,1157.0,2.89
울산광역시,울주군,1036.0,2.78
세종특별자치시,,2202.0,2.96
경기도,수원시,1093.0,2.85
경기도,성남시,1032.0,2.94
경기도,의정부시,1399.0,2.91
경기도,안양시,1023.0,2.88
경기도,부천시,1340.0,2.95
경기도,광명시,799.0,2.89
경기도,평택시,2262.0,2.98
경기도,동두천시,1371.0,2.8
경기도,안산시,1315.0,2.75
경기도,고양시,1023.0,2.93
경기도,과천시,623.0,3.07
경기도,구리시,681.0,2.86
경기도,남양주시,1292.0,2.88
경기도,오산시,1357.0,2.93
경기도,시흥시,1314.0,2.87
경기도,군포시,1202.0,2.94
경기도,의왕시,667.0,2.86
경기도,하남시,815.0,2.96
경기도,용인시,1258.0,2.9
경기도,파주시,1356.0,2.88
경기도,이천시,1351.0,2.86
경기도,안성시,1230.0,2.86
경기도,김포시,1380.0,2.93
경기도,화성시,1548.0,2.87
경기도,광주시,1392.0,2.9
경기도,양주시,1260.0,2.82
경기도,포천시,1405.0,2.61
경기도,여주시,1094.0,2.69
경기도,연천군,1345.0,2.59
경기도,가평군,1147.0,2.26
경기도,양평군,1027.0,2.47
충청북도,청주시,1378.0,2.86
충청북도,충주시,1727.0,2.69
충청북도,제천시,1770.0,2.53
충청북도,보은군,992.0,2.59
충청북도,옥천군,858.0,2.54
충청북도,영동군,1492.0,2.67
충청북도,증평군,1264.0,2.72
충청북도,진천군,1702.0,2.87
충청북도,괴산군,1093.0,2.52
충청북도,음성군,1621.0,2.84
충청북도,단양군,905.0,2.37
충청남도,천안시,1458.0,2.81
충청남도,공주시,959.0,2.55
충청남도,보령시,1618.0,2.39
충청남도,아산시,1932.0,2.95
충청남도,서산시,1950.0,2.75
충청남도,논산시,1486.0,2.75
충청남도,계룡시,1614.0,2.88
충청남도,당진시,1522.0,2.77
충청남도,금산군,1128.0,2.61
충청남도,부여군,1374.0,2.58
충청남도,서천군,1103.0,2.57
충청남도,청양군,1537.0,2.6
충청남도,홍성군,1613.0,2.77
충청남도,예산군,1279.0,2.58
충청남도,태안군,1672.0,2.39
전라남도,목포시,1745.0,2.74
전라남도,여수시,2222.0,2.52
전라남도,순천시,1530.0,2.74
전라남도,나주시,1405.0,2.76
전라남도,광양시,1761.0,2.83
전라남도,담양군,588.0,2.43
전라남도,곡성군,1097.0,2.61
전라남도,구례군,960.0,2.48
전라남도,고흥군,2082.0,2.65
전라남도,보성군,1117.0,2.56
전라남도,화순군,1096.0,2.71
전라남도,장흥군,1454.0,2.67
전라남도,강진군,1309.0,2.66
전라남도,해남군,1451.0,2.72
전라남도,영암군,1347.0,2.77
전라남도,무안군,1313.0,2.77
전라남도,함평군,949.0,2.58
전라남도,영광군,1514.0,2.72
전라남도,장성군,1126.0,2.72
전라남도,완도군,2117.0,2.73
전라남도,진도군,1720.0,2.59
전라남도,신안군,1774.0,2.67
경상북도,포항시,1518.0,2.71
경상북도,경주시,1280.0,2.46
경상북도,김천시,1698.0,2.79
경상북도,안동시,1981.0,2.74
경상북도,구미시,2170.0,2.95
경상북도,영주시,2232.0,2.73
경상북도,영천시,1207.0,2.65
경상북도,상주시,1320.0,2.67
경상북도,문경시,1270.0,2.52
경상북도,경산시,1799.0,2.97
경상북도,의성군,1315.0,2.62
경상북도,청송군,1349.0,2.5
경상북도,영양군,2455.0,2.74
경상북도,영덕군,1060.0,2.4
경상북도,청도군,943.0,2.37
경상북도,고령군,821.0,2.62
경상북도,성주군,1076.0,2.53
경상북도,칠곡군,785.0,2.68
경상북도,예천군,1698.0,2.71
경상북도,봉화군,1396.0,2.65
경상북도,울진군,1995.0,2.58
경상북도,울릉군,5514.0,3.11
경상남도,창원시,1263.0,2.92
경상남도,진주시,2239.0,2.89
경상남도,통영시,1780.0,2.52
경상남도,사천시,1221.0,2.6
경상남도,김해시,1505.0,2.94
경상남도,밀양시,1232.0,2.56
경상남도,거제시,2614.0,2.64
경상남도,양산시,1258.0,2.89
경상남도,의령군,1150.0,2.64
경상남도,함안군,1005.0,2.77
경상남도,창녕군,1130.0,2.54
경상남도,고성군,854.0,2.57
경상남도,남해군,1449.0,2.44
경상남도,하동군,972.0,2.48
경상남도,산청군,1052.0,2.42
경상남도,함양군,1150.0,2.56
경상남도,거창군,1641.0,2.66
경상남도,합천군,1250.0,2.51
제주특별자치도,제주시,2727.0,3.1
제주특별자치도,서귀포시,2076.0,3.06
강원특별자치도,춘천시,1985.0,2.68
강원특별자치도,원주시,2203.0,2.81
강원특별자치도,강릉시,2000.0,2.54
강원특별자치도,동해시,1812.0,2.69
강원특별자치도,태백시,2036.0,2.83
강원특별자치도,속초시,1300.0,2.46
강원특별자치도,삼척시,1716.0,2.61
강원특별자치도,홍천군,1411.0,2.43
강원특별자치도,횡성군,1158.0,2.5
강원특별자치도,영월군,1508.0,2.54
강원특별자치도,평창군,1490.0,2.54
강원특별자치도,정선군,1822.0,2.49
강원특별자치도,철원군,1635.0,2.65
강원특별자치도,화천군,1827.0,2.71
강원특별자치도,양구군,2250.0,2.84
강원특별자치도,인제군,1263.0,2.63
강원특별자치도,고성군,1330.0,2.45
강원특별자치도,양양군,1109.0,2.41
전북특별자치도,전주시,1499.0,2.78
전북특별자치도,군산시,2084.0,2.72
전북특별자치도,익산시,1978.0,2.9
전북특별자치도,정읍시,1440.0,2.69
전북특별자치도,남원시,1446.0,2.6
전북특별자치도,김제시,1079.0,2.72
전북특별자치도,완주군,910.0,2.64
전북특별자치도,진안군,961.0,2.48
전북특별자치도,무주군,994.0,2.39
전북특별자치도,장수군,1557.0,2.61
전북특별자치도,임실군,500.0,2.56
전북특별자치도,순창군,970.0,2.61
전북특별자치도,고창군,1274.0,2.58
전북특별자치도,부안군,1342.0,2.41
